Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Charcoal, 64 GB)","₹7,000",4,30,1,['Terrific purchase'],['Absolutely fine product 🔥READ MORE']
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Purple, 64 GB)","₹7,149",4,30,1,['Terrific purchase'],['Absolutely fine product 🔥READ MORE']
"Nokia C32 TA-1548 DS (Charcoal, 128 GB)","₹7,568",4.1,91,4,"['Brilliant', 'Good choice', 'Wonderful', 'Good choice']","['NiceREAD MORE', 'Highly recommendREAD MORE', 'Phone  is very good..READ MORE', 'WoREAD MORE']"
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,"['Expected a better product', 'Terrific purchase', 'Terrible product', 'Wonderful', 'Super!', 'Nice', 'Not recommended at all', 'Good quality product', 'Absolute rubbish!', 'Good quality product']","[""1st. Company claims 3Days charge stable but  i notice every 3 hours battery reduced without any use. 2nd Virtual RAM is 3:Gb but that's not effective Device is Hanging and Sometimes stuck.3rd. Good For Design and Outer side Good Quality but inner side I'm not happy. 4th. Camera 50MP ,, Hahahaha The Big Joke it's like 5MP 2x zoom only camera quality worst.READ MORE"", 'Nice mobileREAD MORE', '14extra apps automatically downloaded when wifi is on/ heating issueREAD MORE', 'Awesome phoneREAD MORE', 'True class of nokiaREAD MORE', 'Camera is not that impressive very poor quality picture Phone lags some timesREAD MORE', 'Never buy thi mobile Work very slowREAD MORE', 'Phone is good for normal useREAD MORE', 'Worst phone from Nokia.Camera 📸 1/10Battery 5/10Performance 5/10⭐READ MORE', ""Amazing product, but camera doesn't feel like 50MP.READ MORE""]"
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,"['Expected a better product', 'Terrific purchase', 'Terrible product', 'Wonderful', 'Super!', 'Nice', 'Not recommended at all', 'Good quality product', 'Absolute rubbish!', 'Good quality product']","[""1st. Company claims 3Days charge stable but  i notice every 3 hours battery reduced without any use. 2nd Virtual RAM is 3:Gb but that's not effective Device is Hanging and Sometimes stuck.3rd. Good For Design and Outer side Good Quality but inner side I'm not happy. 4th. Camera 50MP ,, Hahahaha The Big Joke it's like 5MP 2x zoom only camera quality worst.READ MORE"", 'Nice mobileREAD MORE', '14extra apps automatically downloaded when wifi is on/ heating issueREAD MORE', 'Awesome phoneREAD MORE', 'True class of nokiaREAD MORE', 'Camera is not that impressive very poor quality picture Phone lags some timesREAD MORE', 'Never buy thi mobile Work very slowREAD MORE', 'Phone is good for normal useREAD MORE', 'Worst phone from Nokia.Camera 📸 1/10Battery 5/10Performance 5/10⭐READ MORE', ""Amazing product, but camera doesn't feel like 50MP.READ MORE""]"
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,"['Expected a better product', 'Terrific purchase', 'Terrible product', 'Wonderful', 'Super!', 'Nice', 'Not recommended at all', 'Good quality product', 'Absolute rubbish!', 'Good quality product']","[""1st. Company claims 3Days charge stable but  i notice every 3 hours battery reduced without any use. 2nd Virtual RAM is 3:Gb but that's not effective Device is Hanging and Sometimes stuck.3rd. Good For Design and Outer side Good Quality but inner side I'm not happy. 4th. Camera 50MP ,, Hahahaha The Big Joke it's like 5MP 2x zoom only camera quality worst.READ MORE"", 'Nice mobileREAD MORE', '14extra apps automatically downloaded when wifi is on/ heating issueREAD MORE', 'Awesome phoneREAD MORE', 'True class of nokiaREAD MORE', 'Camera is not that impressive very poor quality picture Phone lags some timesREAD MORE', 'Never buy thi mobile Work very slowREAD MORE', 'Phone is good for normal useREAD MORE', 'Worst phone from Nokia.Camera 📸 1/10Battery 5/10Performance 5/10⭐READ MORE', ""Amazing product, but camera doesn't feel like 50MP.READ MORE""]"
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,"['Expected a better product', 'Terrific purchase', 'Terrible product', 'Wonderful', 'Super!', 'Nice', 'Not recommended at all', 'Good quality product', 'Absolute rubbish!', 'Good quality product']","[""1st. Company claims 3Days charge stable but  i notice every 3 hours battery reduced without any use. 2nd Virtual RAM is 3:Gb but that's not effective Device is Hanging and Sometimes stuck.3rd. Good For Design and Outer side Good Quality but inner side I'm not happy. 4th. Camera 50MP ,, Hahahaha The Big Joke it's like 5MP 2x zoom only camera quality worst.READ MORE"", 'Nice mobileREAD MORE', '14extra apps automatically downloaded when wifi is on/ heating issueREAD MORE', 'Awesome phoneREAD MORE', 'True class of nokiaREAD MORE', 'Camera is not that impressive very poor quality picture Phone lags some timesREAD MORE', 'Never buy thi mobile Work very slowREAD MORE', 'Phone is good for normal useREAD MORE', 'Worst phone from Nokia.Camera 📸 1/10Battery 5/10Performance 5/10⭐READ MORE', ""Amazing product, but camera doesn't feel like 50MP.READ MORE""]"
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,"['Expected a better product', 'Terrific purchase', 'Terrible product', 'Wonderful', 'Super!', 'Nice', 'Not recommended at all', 'Good quality product', 'Absolute rubbish!', 'Good quality product']","[""1st. Company claims 3Days charge stable but  i notice every 3 hours battery reduced without any use. 2nd Virtual RAM is 3:Gb but that's not effective Device is Hanging and Sometimes stuck.3rd. Good For Design and Outer side Good Quality but inner side I'm not happy. 4th. Camera 50MP ,, Hahahaha The Big Joke it's like 5MP 2x zoom only camera quality worst.READ MORE"", 'Nice mobileREAD MORE', '14extra apps automatically downloaded when wifi is on/ heating issueREAD MORE', 'Awesome phoneREAD MORE', 'True class of nokiaREAD MORE', 'Camera is not that impressive very poor quality picture Phone lags some timesREAD MORE', 'Never buy thi mobile Work very slowREAD MORE', 'Phone is good for normal useREAD MORE', 'Worst phone from Nokia.Camera 📸 1/10Battery 5/10Performance 5/10⭐READ MORE', ""Amazing product, but camera doesn't feel like 50MP.READ MORE""]"
"Nokia C32 (Beach pink, 64 GB)","₹7,289",3.8,952,92,"['Expected a better product', 'Terrific purchase', 'Terrible product', 'Wonderful', 'Super!', 'Nice', 'Not recommended at all', 'Good quality product', 'Absolute rubbish!', 'Good quality product']","[""1st. Company claims 3Days charge stable but  i notice every 3 hours battery reduced without any use. 2nd Virtual RAM is 3:Gb but that's not effective Device is Hanging and Sometimes stuck.3rd. Good For Design and Outer side Good Quality but inner side I'm not happy. 4th. Camera 50MP ,, Hahahaha The Big Joke it's like 5MP 2x zoom only camera quality worst.READ MORE"", 'Nice mobileREAD MORE', '14extra apps automatically downloaded when wifi is on/ heating issueREAD MORE', 'Awesome phoneREAD MORE', 'True class of nokiaREAD MORE', 'Camera is not that impressive very poor quality picture Phone lags some timesREAD MORE', 'Never buy thi mobile Work very slowREAD MORE', 'Phone is good for normal useREAD MORE', 'Worst phone from Nokia.Camera 📸 1/10Battery 5/10Performance 5/10⭐READ MORE', ""Amazing product, but camera doesn't feel like 50MP.READ MORE""]"
"Nokia C32 (MINT, 64 GB)","₹7,599",3.8,952,92,"['Expected a better product', 'Terrific purchase', 'Terrible product', 'Wonderful', 'Super!', 'Nice', 'Not recommended at all', 'Good quality product', 'Absolute rubbish!', 'Good quality product']","[""1st. Company claims 3Days charge stable but  i notice every 3 hours battery reduced without any use. 2nd Virtual RAM is 3:Gb but that's not effective Device is Hanging and Sometimes stuck.3rd. Good For Design and Outer side Good Quality but inner side I'm not happy. 4th. Camera 50MP ,, Hahahaha The Big Joke it's like 5MP 2x zoom only camera quality worst.READ MORE"", 'Nice mobileREAD MORE', '14extra apps automatically downloaded when wifi is on/ heating issueREAD MORE', 'Awesome phoneREAD MORE', 'True class of nokiaREAD MORE', 'Camera is not that impressive very poor quality picture Phone lags some timesREAD MORE', 'Never buy thi mobile Work very slowREAD MORE', 'Phone is good for normal useREAD MORE', 'Worst phone from Nokia.Camera 📸 1/10Battery 5/10Performance 5/10⭐READ MORE', ""Amazing product, but camera doesn't feel like 50MP.READ MORE""]"
