Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Charcoal, 64 GB)","₹8,099",3.4,84,9,Very poor,Nice 👍
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Charcoal, 64 GB)","₹8,099",3.4,84,9,Terrible product,Waste product
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Charcoal, 64 GB)","₹8,099",3.4,84,9,Not recommended at all,"Average phone,  very slow"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Charcoal, 64 GB)","₹8,099",3.4,84,9,Not recommended at all,Poor performance. Hangs often
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Charcoal, 64 GB)","₹8,099",3.4,84,9,Terrific,Nice product
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Did not meet expectations,Battery charge down quickly
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Highly recommended,Super 👍 mobile hai
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Expected a better product,I  LIKE IT.
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Just okay,Excellent mobile
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Very poor,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Terrible product,Nice 👍
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Not recommended at all,Waste product
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Not recommended at all,"Average phone,  very slow"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Sand, 64 GB)","₹7,749",3.4,84,9,Terrific,Poor performance. Hangs often
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Classy product,Nice product
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Must buy!,Battery charge down quickly
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Absolute rubbish!,Super 👍 mobile hai
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Horrible,I  LIKE IT.
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Terrific purchase,Excellent mobile
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Utterly Disappointed,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Don't waste your money,Nice 👍
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Nice product,Waste product
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,555",3.7,115,9,Must buy!,"Average phone,  very slow"
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Did not meet expectations,Poor performance. Hangs often
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Highly recommended,Nice product
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Expected a better product,Battery charge down quickly
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Just okay,Super 👍 mobile hai
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Very poor,I  LIKE IT.
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Terrible product,Excellent mobile
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Not recommended at all,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Not recommended at all,Nice 👍
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹7,749",3.4,84,9,Terrific,Waste product
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Mint, 64 GB)","₹7,499",4.0,30,1,Terrific purchase,"Average phone,  very slow"
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Charcoal, 64 GB)","₹7,000",4.0,30,1,Terrific purchase,Poor performance. Hangs often
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Purple, 64 GB)","₹7,149",4.0,30,1,Terrific purchase,Nice product
"Nokia C32 TA-1548 DS (Charcoal, 128 GB)","₹7,568",4.1,91,4,Brilliant,Battery charge down quickly
"Nokia C32 TA-1548 DS (Charcoal, 128 GB)","₹7,568",4.1,91,4,Good choice,Super 👍 mobile hai
"Nokia C32 TA-1548 DS (Charcoal, 128 GB)","₹7,568",4.1,91,4,Wonderful,I  LIKE IT.
"Nokia C32 TA-1548 DS (Charcoal, 128 GB)","₹7,568",4.1,91,4,Good choice,Excellent mobile
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Expected a better product,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Terrific purchase,Nice 👍
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Terrible product,Waste product
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Wonderful,"Average phone,  very slow"
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Super!,Poor performance. Hangs often
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Nice,Nice product
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Not recommended at all,Battery charge down quickly
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Good quality product,Super 👍 mobile hai
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Absolute rubbish!,I  LIKE IT.
"Nokia C32 (Beach pink, 128 GB)","₹7,249",3.8,952,92,Good quality product,Excellent mobile
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Expected a better product,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Terrific purchase,Nice 👍
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Terrible product,Waste product
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Wonderful,"Average phone,  very slow"
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Super!,Poor performance. Hangs often
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Nice,Nice product
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Not recommended at all,Battery charge down quickly
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Good quality product,Super 👍 mobile hai
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Absolute rubbish!,I  LIKE IT.
"Nokia C32 (Mint, 128 GB)","₹7,799",3.8,952,92,Good quality product,Excellent mobile
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Expected a better product,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Terrific purchase,Nice 👍
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Terrible product,Waste product
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Wonderful,"Average phone,  very slow"
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Super!,Poor performance. Hangs often
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Nice,Nice product
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Not recommended at all,Battery charge down quickly
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Good quality product,Super 👍 mobile hai
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Absolute rubbish!,I  LIKE IT.
"Nokia C32 (Mint, 64 GB)","₹7,499",3.8,952,92,Good quality product,Excellent mobile
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Expected a better product,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Terrific purchase,Nice 👍
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Terrible product,Waste product
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Wonderful,"Average phone,  very slow"
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Super!,Poor performance. Hangs often
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Nice,Nice product
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Not recommended at all,Battery charge down quickly
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Good quality product,Super 👍 mobile hai
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Absolute rubbish!,I  LIKE IT.
"Nokia C32 (Charcoal, 128 GB)","₹7,999",3.8,952,92,Good quality product,Excellent mobile
"Nokia C32 (Charcoal, 64 GB)","₹7,279",3.8,952,92,Expected a better product,Phone keeps hanging every now and then and also the battery gets discharged very quickly..very worse and disappointed purchase...
